DGP,Name,Method,Coverage,Coverage_SE,Nominal,Mean_CI_Width,Mean_Bias,Mean_SE,n_valid,n_sim,n_boot
09_garch_mild,GARCH mild,iid,0.877,0.0103860964755773,0.95,1.969498377929665,0.0318558781078822,0.5030486500392131,1000,1000,5000
09_garch_mild,GARCH mild,blocked,0.926,0.0082779224446717,0.95,2.2767869693889216,0.0318558781078822,0.581128111730401,1000,1000,5000
09_garch_mild,GARCH mild,stationary,0.93,0.0080684571015777,0.95,2.276305740326076,0.0318558781078822,0.5813600796830299,1000,1000,5000
09_garch_mild,GARCH mild,hac_delta,0.94,0.0075099933422074,0.95,2.339503637930741,0.0323275798868091,0.5968231192982236,1000,1000,5000
09_garch_mild,GARCH mild,row_naive,0.11,0.0098944428847712,0.95,0.2783689812956359,-0.4733630367494952,0.0710124952284785,1000,1000,5000
10_garch_strong,GARCH strong,iid,0.862,0.0109066951914867,0.95,1.971345973900391,-0.0487454853882527,0.5032255828026815,1000,1000,5000
10_garch_strong,GARCH strong,blocked,0.926,0.0082779224446717,0.95,2.455036330776036,-0.0487454853882527,0.6266381110584107,1000,1000,5000
10_garch_strong,GARCH strong,stationary,0.927,0.0082262385085772,0.95,2.465597538814967,-0.0487454853882527,0.6295178374036184,1000,1000,5000
10_garch_strong,GARCH strong,hac_delta,0.948,0.0070211110231928,0.95,2.588788906084913,-0.0484398746557817,0.6604174685108883,1000,1000,5000
10_garch_strong,GARCH strong,row_naive,0.199,0.0126253316788114,0.95,0.2783848062016826,-0.2675093871893447,0.0710165321943067,1000,1000,5000
11_multifactor,Multi-factor K=3,iid,0.895,0.0096940703525402,0.95,1.969851259380268,0.0096068960669764,0.5030149082764444,1000,1000,5000
11_multifactor,Multi-factor K=3,blocked,0.937,0.0076831634109915,0.95,2.277557886489323,0.0096068960669764,0.5813312852663743,1000,1000,5000
11_multifactor,Multi-factor K=3,stationary,0.94,0.0075099933422074,0.95,2.2810108688810438,0.0096068960669764,0.5822037974209411,1000,1000,5000
11_multifactor,Multi-factor K=3,hac_delta,0.947,0.0070845606779813,0.95,2.346268968317317,0.0099897103042141,0.5985490006001098,1000,1000,5000
11_multifactor,Multi-factor K=3,row_naive,0.225,0.0132051126462442,0.95,0.278374687639899,-0.3269800706313796,0.0710139509285456,1000,1000,5000
12_regime,Regime-switching,iid,0.89,0.0098944428847712,0.95,1.3923530424373196,0.0141452935275282,0.3553034539538631,1000,1000,5000
12_regime,Regime-switching,blocked,0.929,0.0081215146370612,0.95,1.5692186377711097,0.0141452935275282,0.4004523334675945,1000,1000,5000
12_regime,Regime-switching,stationary,0.929,0.0081215146370612,0.95,1.5696081214783606,0.0141452935275282,0.4008151384767942,1000,1000,5000
12_regime,Regime-switching,hac_delta,0.934,0.0078513693073246,0.95,1.5916529324403546,0.0142002460758496,0.406041372442328,1000,1000,5000
12_regime,Regime-switching,row_naive,0.306,0.0145727142289966,0.95,0.1967944612319254,-0.0924455915241308,0.0502026686816136,1000,1000,5000
13_high_ar1,High-persistence AR(1),iid,0.562,0.0156893594515518,0.95,1.971426908814657,-0.0087685873604996,0.5034583084708911,1000,1000,5000
13_high_ar1,High-persistence AR(1),blocked,0.899,0.0095288509275777,0.95,4.095383621951661,-0.0087685873604996,1.0453450071256265,1000,1000,5000
13_high_ar1,High-persistence AR(1),stationary,0.907,0.009184280047995,0.95,4.1569498874229645,-0.0087685873604996,1.061538979978944,1000,1000,5000
13_high_ar1,High-persistence AR(1),hac_delta,0.933,0.007906389820898,0.95,4.405770408757536,-0.0083949677615292,1.123941675334264,1000,1000,5000
13_high_ar1,High-persistence AR(1),row_naive,0.137,0.0108734079294396,0.95,0.2784712138937144,-0.3376102451284943,0.0710385749728863,1000,1000,5000
14_garch_highvol,High-volatility GARCH,iid,0.895,0.0096940703525402,0.95,1.971146743092592,0.0114269338439234,0.5030346597393976,1000,1000,5000
14_garch_highvol,High-volatility GARCH,blocked,0.94,0.0075099933422074,0.95,2.2823523229126126,0.0114269338439234,0.5822834797102147,1000,1000,5000
14_garch_highvol,High-volatility GARCH,stationary,0.941,0.0074511073002608,0.95,2.284257620167488,0.0114269338439234,0.5830243710098558,1000,1000,5000
14_garch_highvol,High-volatility GARCH,hac_delta,0.948,0.0070211110231928,0.95,2.3472414357712914,0.011810658783133,0.5987970835908293,1000,1000,5000
14_garch_highvol,High-volatility GARCH,row_naive,0.193,0.0124800240384383,0.95,0.2783756279001586,-0.3245288400874422,0.0710141907908567,1000,1000,5000
